Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$14,186,498,160",3.02%,15.38,1.39,4.16
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$14,167,129,477",1.90%,16.86,0.61,7.04
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$14,164,468,919",0.96%,41.63,7.59,11.33
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$14,054,461,564",3.99%,7.58,1.62,1.26
QRVO,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"$13,972,499,455",0.00%,12.77,3.07,3.06
APA,Apache Corp,Common stocks,Large cap,Energy,"$13,819,038,703",0.59%,13.67,1.73,-8.91
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$13,640,266,834",0.16%,100.39,0,2.2
MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$13,610,912,552",0.74%,52.42,19.47,12.98
NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"$13,335,896,305",0.87%,9.29,1.33,0.55
NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"$13,335,896,305",0.89%,18.09,1.33,1.07
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$13,320,210,055",3.31%,14.65,1.6,4.03
NDSN,Nordson Corp,Common stocks,Large cap,Industrials,"$13,242,317,274",0.84%,27.11,5.42,6.08
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$13,184,381,452",4.08%,-10.66,0.74,0.66
DISCA,Discovery Communications Inc Series A,Common stocks,Large cap,Communication Services,"$13,031,720,275",0.00%,4.48,1.07,0.39
DISCK,"Discovery Communications, Inc. - Series C",Common stocks,Large cap,Communication Services,"$13,031,720,275",0.00%,8.63,1.07,0.75
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$12,975,610,909",1.10%,12.36,0.99,2.34
RHI,Robert Half,Common stocks,Large cap,Industrials,"$12,965,756,634",1.33%,22.52,2.01,9.76
FFIV,F5 Networks Inc,Common stocks,Large cap,Information Technology,"$12,886,817,529",0.00%,38.83,4.83,5.44
AAP,Advance Auto Parts Inc,Common stocks,Large cap,Consumer Discretionary,"$12,860,429,404",2.12%,21.37,1.17,4.21
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$12,724,268,582",0.00%,26.4,6.93,6.75
CTXS,Citrix Systems Inc,Common stocks,Large cap,Information Technology,"$12,719,746,615",1.09%,41.55,3.95,23.35
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$12,694,498,258",1.85%,32.13,1.52,-73.59
UHS,Universal Health Services Inc.,Common stocks,Large cap,Health Care,"$12,692,493,312",0.53%,10.09,1,1.64
NI,Nisource Inc,Common stocks,Large cap,Utilities,"$12,587,204,561",2.85%,24.05,2.57,1.83
WRK,Westrock,Common stocks,Large cap,Materials,"$12,505,315,764",2.05%,14.54,0.65,1.08
CMA,Comerica Inc,Common stocks,Large cap,Financials,"$12,469,520,822",2.82%,10.96,4.62,1.58
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$12,141,164,528",0.00%,19.28,0.98,3.55
JNPR,Juniper Networks Inc,Common stocks,Large cap,Information Technology,"$12,042,119,822",2.15%,48.14,2.54,2.82
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$12,039,649,870",1.64%,23.16,3.45,3.39
BBWI,"Bath & Body Works, Inc.",Common stocks,Large cap,Consumer Discretionary,"$11,914,447,485",1.54%,9.27,4.13,-8.15
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,855,553,217",3.48%,22.15,10.17,2.06
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$11,714,165,962",0.52%,11.54,1.24,1.77
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$11,693,982,943",2.06%,8.62,1.03,1.17
HAS,Hasbro Inc,Common stocks,Large cap,Consumer Discretionary,"$11,648,997,351",3.21%,28.02,1.81,3.97
LNC,Lincoln National Corp,Common stocks,Large cap,Financials,"$11,604,477,840",2.52%,8.36,0.61,0.58
TAP,Molson Coors Brewing Class B,Common stocks,Large cap,Consumer Staples,"$11,577,964,077",1.97%,10.78,1.13,0.81
LUMN,"CenturyLink, Inc.",Common stocks,Large cap,Communication Services,"$11,472,002,631",8.72%,5.7,0.58,0.98
AAL,American Airlines Group Inc,Common stocks,Large cap,Industrials,"$11,230,470,024",0.00%,-5.92,0.38,-1.61
DVA,Davita Inc,Common stocks,Large cap,Health Care,"$11,167,911,000",0.00%,11.38,0.96,14.73
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$10,996,399,946",2.56%,13.72,2.39,2.69
XRAY,Dentsply Sirona Inc,Common stocks,Large cap,Health Care,"$10,842,906,462",0.91%,25.7,2.55,2.15
AOS,A O Smith Corp,Common stocks,Large cap,Industrials,"$10,763,056,920",1.61%,18.15,3.04,4.83
WHR,Whirlpool Corp,Common stocks,Large cap,Consumer Discretionary,"$10,696,546,190",3.23%,6.15,0.49,2.26
AIZ,Assurant Inc,Common stocks,Large cap,Financials,"$10,599,302,563",1.45%,7.65,1.04,1.91
ZION,Zions Bancorporation,Common stocks,Large cap,Financials,"$10,591,603,624",2.11%,9.63,3.62,1.42
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$10,543,033,593",1.32%,5.63,0.76,1.46
CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$10,357,623,793",0.00%,-143.34,10.11,4.85
FBHS,Fortune Brands Home And Security,Common stocks,Large cap,Industrials,"$10,321,723,033",1.35%,13.78,1.35,3.47
SEE,Sealed Air Corp,Common stocks,Large cap,Materials,"$10,282,175,124",1.15%,20.51,1.86,41.8
IVZ,Invesco Ltd,Common stocks,Large cap,Financials,"$10,183,683,196",3.01%,7.62,1.48,0.69
TPR,Tapestry,Common stocks,Large cap,Consumer Discretionary,"$10,137,205,210",1.94%,12.68,1.56,3.62
GL,Globe Life Inc.,Common stocks,Large cap,Financials,"$10,135,497,054",0.77%,13.72,1.98,1.18
ALLE,Allegion PLC,Common stocks,Large cap,Industrials,"$10,012,390,558",1.31%,21.02,3.49,13.37
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$9,378,199,861",0.90%,38.03,9.86,3.78
WYNN,Wynn Resorts Ltd,Common stocks,Mid cap,Consumer Discretionary,"$9,288,538,507",0.00%,-12.54,2.47,-44.2
BWA,BorgWarner Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,255,762,120",1.75%,17.91,0.62,1.38
NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,230,895,731",4.08%,16.58,0.87,2.32
PNR,Pentair,Common stocks,Mid cap,Industrials,"$9,164,636,997",1.45%,16.97,2.43,3.88
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$9,107,383,319",3.48%,4.22,0.34,2.57
PBCT,Peoples United Financial Inc,Common stocks,Mid cap,Financials,"$9,100,437,816",3.40%,15.6,4.81,1.17
OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$8,920,419,585",2.37%,6.63,1.42,-5.94
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$8,798,385,523",4.53%,70.91,5.54,1.44
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$8,707,000,079",1.72%,11.32,1.46,2.08
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,664,137,593",4.30%,14.16,2.28,1.48
MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,580,917,122",0.00%,8.74,0.77,1.07
LW,Lamb Weston Holdings Inc,Common stocks,Mid cap,Consumer Staples,"$8,423,260,836",1.63%,44.65,2.16,23.71
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$8,050,656,292",0.00%,-13.6,0.48,1.74
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$8,027,423,450",2.29%,14.9,0.84,2.89
NLSN,Nielsen Holdings Plc,Common stocks,Mid cap,Industrials,"$7,984,158,252",1.08%,9.97,2.28,2.9
UA,Under Armour Inc Class C,Common stocks,Mid cap,Consumer Discretionary,"$7,690,927,200",0.00%,11.43,1.35,1.97
UAA,Under Armour Inc Class A,Common stocks,Mid cap,Consumer Discretionary,"$7,690,927,200",0.00%,9.45,1.35,1.63
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$7,200,931,643",0.00%,15.38,1.17,1.93
PENN,Penn National Gaming Inc,Common stocks,Mid cap,Consumer Discretionary,"$7,010,636,998",0.00%,17.74,1.19,1.82
IPGP,IPG Photonics Corp,Common stocks,Mid cap,Information Technology,"$6,041,442,388",0.00%,22.76,4.14,2.31
PVH,PVH Corp,Common stocks,Mid cap,Consumer Discretionary,"$5,899,814,407",0.09%,21.97,0,1.2
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$4,414,046,000",0.00%,-1.96,6.81,3.63
