Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$23,181,182,911",3.35%,20.91,1.97,2
MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"$23,151,358,531",2.54%,13.22,3.86,1.31
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$23,110,259,427",1.00%,15.23,2.27,2.7
SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$23,039,386,116",2.16%,14.28,1.48,2.06
GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$22,916,600,200",1.12%,21.62,4.6,3.83
DOV,Dover Corp,Common stocks,Large cap,Industrials,"$22,854,263,401",1.25%,20.86,2.89,5.6
CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$22,780,394,323",1.75%,19.18,6.6,1.89
HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$22,596,359,161",3.41%,6.14,0.81,1.12
SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$22,478,630,288",1.58%,16.56,4.58,4.34
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$22,448,142,034",2.40%,47.53,15.58,3.87
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$22,414,512,607",0.00%,27.78,3.98,7.79
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$22,370,882,534",0.16%,24.4,4.41,3.19
VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$22,338,511,752",3.41%,16.61,1.93,6.35
FTV,Fortive Corp,Common stocks,Large cap,Industrials,"$22,290,841,864",0.45%,39.7,4.24,2.39
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$22,220,723,447",0.00%,49.96,4.82,2.92
DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"$22,062,730,920",1.84%,26.37,19.95,3.72
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$22,016,332,650",0.01%,21.93,7.27,2.97
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$22,004,611,139",0.62%,28.88,1.81,7.05
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$21,999,434,708",1.28%,6.46,1.62,0.82
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$21,999,434,708",1.18%,8.97,1.62,1.14
HBAN,Huntington Bancshares Inc,Common stocks,Large cap,Financials,"$21,802,433,952",3.98%,19.21,3.64,1.15
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$21,791,889,196",1.13%,22.56,3.33,6.45
BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$21,786,280,838",3.05%,13.19,0,7.51
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$21,782,092,817",1.89%,7.44,2.26,1.67
RF,Regions Financial Corp,Common stocks,Large cap,Financials,"$21,582,475,466",2.85%,9.07,3.39,1.19
KEY,Keycorp,Common stocks,Large cap,Financials,"$21,558,631,022",3.20%,8.63,3.06,1.25
CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$21,417,406,310",0.00%,-2.09,6.11,1.91
K,Kellogg,Common stocks,Large cap,Consumer Staples,"$21,416,248,455",3.64%,14.6,1.51,5.84
PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$20,958,519,558",0.00%,110.53,19.86,24.24
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$20,694,385,971",0.00%,21.58,2.4,13.85
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$20,420,999,546",5.11%,-14.13,3.53,1.52
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$20,415,929,511",0.54%,34.95,6.7,4.89
IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$20,297,714,325",0.08%,23.86,3.76,2.3
